name,id,avgUserRating,userRatingCount,title,author_name,author_uri,voteSum,voteCount,rating,text,date
Microsoft HealthVault,546835834,2.5,176,Lab Corp blood results,liver transplant patient,https://itunes.apple.com/us/reviews/id782157250,0,0,1,"Lab Corp had my weekly blood work results on the last app Up two months ago earlier in 2018, since they forced everyone to open up the HealthVault app to get results I have not been able to get one result and I just found out that they do not supply results to iPhones five, six and seven. After spending hours checking I found out that you need an iPhone 8 or 10 and that is ridiculous, it had been working for three years just fine and I can guarantee you that regular hard-working people cannot afford the latest phones. This is a terrible new system which excludes The majority of regular people with regular phones. I am a transplant patient and I need to keep up with my blood work results frequently since many levels such as my potassium could cause me heart problems from one week to another. I hope someone gets back in touch with me or I will be switching lab companies who can supply a simple task as supplying blood work results which I pay for.",2018-08-08T05:03:25-07:00
Microsoft HealthVault,546835834,2.5,176,Perfect,nofeeagency,https://itunes.apple.com/us/reviews/id327374344,0,0,5,"From a wonderful company like MS I always expect handy tools and great products. My reliance on their products is a lifetime relationship since the days of MS-DOS I been a computer practitioner using them from a blog to a multimillion deal. I get irritated on the manuals when the independent authors on their manuals indicate clears instructions on how to use the product and on the same page there are instructions for Microsoft and a couple of paragraphs with instructions for an apple product. It is a distraction and it never occurred to them to put all the instructions for apple on a chapter by itself or st the end manual. I am sure that the apple user will enjoy having their own section, without the burden to read about something that they don’t understand.",2018-10-30T21:11:53-07:00
Microsoft HealthVault,546835834,2.5,176,Lab results from labcorp need serious revision,MeistOfMes,https://itunes.apple.com/us/reviews/id130580876,3,4,1,"I only downloaded this for lab results, since labcorp is supposed to be completely loaded into this. No dates. None. So I open a diagnostic result thinking it's a follow up, get excited that the result looks awesome, then realize it was years old. Then I went looking for the updated result, which should be in here by now. I was no where. You guys have a professional liability to patients accessing their own medical records. This app could actually create problems for management of chronic conditions. You either need to remove the lab results function completely, or you need to fix it completely. I'm not saying that as a random complainer, indignant over a bad product. I'm saying that as a person who provides care in the medical field and I am horrified at the idea that patients (including me, briefly) might trust this app. If I were giving out medical information in this format, my malpractice company would be ripping their hair out.",2017-01-27T11:24:12-07:00
Microsoft HealthVault,546835834,2.5,176,Stuck in 2001 health reporting technology,mjdindc,https://itunes.apple.com/us/reviews/id37433209,1,1,1,"I started using almost 10 years ago. For the time it was innovative. There has been virtually no functionality added or improved while there are new sites coming up fast and furious. HealthVault is primed to be a major player by being the connection point between many of the systems. Instead it relies on you to manually enter the data. It’s easier to save as pdf and stick it in the cloud. 

Some data does come over from insurance and pharmacies but it’s hit and miss so you never know what to trust. There is no way to sort so drugs are missed up randomly. Conditions are duplicated numerous times. 

It pulls over some lab procedures but no results and the fields are not properly set up to enter them. It would be simple to set up lab fields and just let users enter so they can tracks but instead it just a bunch of random fields that don’t allow for any comparison",2018-01-16T21:08:55-07:00
Microsoft HealthVault,546835834,2.5,176,Straight up doesn’t work,cazzy_knickers,https://itunes.apple.com/us/reviews/id39998198,1,1,1,"Literally NOTHING in this app works. Initially I wanted to plug lab data into it - even if my doctor didn’t provide the info in a way that would sync with the app, I’d just type it in, right? Wrong, can’t do that. But also can’t sync with anything that I can figure out. I thought ok, disappointing, but the medication tracker is a good/useful tool. Except when I hit “edit” and try to type in a medication, nothing happens. On literally every page of the app, the user is incapable of editing and managing their own medical history. I do not understand the purpose or function of an app you can’t actually use.",2017-10-22T22:19:27-07:00
Microsoft HealthVault,546835834,2.5,176,Great idea,Gdb&&@,https://itunes.apple.com/us/reviews/id216415940,0,0,5,"I have many yrs worth of data now stored. It is primarily data I place into it myself. I have my runs and walks, blood pressure, weight (seeing it slowly increase) and I placed my scanned old medical records, Rx ect. I only with other companies would cooperated with them more, Fitbit use to work with it. 

I understand this is a highly regulated field (government can place hefty fines) so MS tries to reduce the risk. I fear MS will close this venture one day.",2018-06-27T10:26:12-07:00
Microsoft HealthVault,546835834,2.5,176,Not for the older generation,vallaw3417,https://itunes.apple.com/us/reviews/id182135065,5,5,1,I have worked in Managed Care for nearly 25 years. I have seen more changes than I care to go through for this review. This app is awful. We are required by CMS to engage at least five patients this year as a compliance measure. I'm the administrator and I couldn't create my account without assistance! This is not user friendly and needs to be easy to use for all ages. Get with it! The biggest hassle was the part where you have to enter the letters/numbers to prove you're not a robot or whatever. A 28 year old couldn't read it! That's not good.,2017-08-10T05:57:13-07:00
Microsoft HealthVault,546835834,2.5,176,Needs to have iOS Health Intergration,Ezekelfallean,https://itunes.apple.com/us/reviews/id312210415,0,0,1,This app is useless on iOS without apple healthkit access. Personally as a PC desktop users I think this app has great potential. Its just does not have the support like apples health app dose. If it could read apples health app data and write that data in it then it would become usefull for desktop. Even more so than apples version because microsoft app can be found on multiple platforms and devices. Where apples health app is only an iphone app. If you do anything to this app microsoft give it healthkit support. Without that its basically a deal breaker.,2017-02-09T10:34:43-07:00
Microsoft HealthVault,546835834,2.5,176,Will there be an Update for IOS 11 Apple iPhone,Rose1956,https://itunes.apple.com/us/reviews/id43317508,0,2,5,"This is an awesome app . I had Open Heart Surgery in January of this 2017. Great way to keep all my records with me
I have had this app for several years tracking my fitness goals too!
I would be lost without it. 
Thank You!",2017-10-01T04:56:51-07:00
Microsoft HealthVault,546835834,2.5,176,Not Sure of Usefulness,arimar1315,https://itunes.apple.com/us/reviews/id169755547,0,0,1,"App doesn't seem to be useful for much of anything.  Medical records are accessible online through many, many health systems and wireless BP, Glucose, etc., devices take the reading and update the records wirelessly.  This seems to be ALL peck and enter, and doesn't seem to be able to import any records.  Was hoping that it would at least be a one-click overview of vitals, weight, etc., but I would have to totally re-enter my records manually.",2016-06-27T11:03:22-07:00
