name,id,userRatingCount,avgUserRating,title,author,authorUrl,rating,date,voteSum,voteCount,content
FollowMyHealth®,502147249,25571,4.5,Very convenient,steve oc,https://itunes.apple.com/us/reviews/id163291580,4,2018-10-30T17:58:32-07:00,0,0,It's great to have a secure way to communicate with my health provider. Also great to have my health records in one place. I would like to hay a way to upload ccd xml files from other providers
FollowMyHealth®,502147249,25571,4.5,Total trash,Full orchestra,https://itunes.apple.com/us/reviews/id129670612,1,2018-10-30T17:30:25-07:00,0,0,The only reason I use this is to exchange emails with my physician. Well that no longer works.
FollowMyHealth®,502147249,25571,4.5,Great App!!,chris121177575,https://itunes.apple.com/us/reviews/id713544691,5,2018-10-30T17:17:40-07:00,0,0,Very handy for keeping up with appointments and also keeps track of all visits and blood work results.
FollowMyHealth®,502147249,25571,4.5,Great,pennc201,https://itunes.apple.com/us/reviews/id852541464,5,2018-10-30T16:39:05-07:00,0,0,Super efficient
FollowMyHealth®,502147249,25571,4.5,Top Medical  App,ElOlimpico,https://itunes.apple.com/us/reviews/id168575105,5,2018-10-30T15:38:21-07:00,0,0,Easy to use
FollowMyHealth®,502147249,25571,4.5,R,sorefoot7,https://itunes.apple.com/us/reviews/id176457719,5,2018-10-30T15:11:37-07:00,0,0,Like the convenience.
FollowMyHealth®,502147249,25571,4.5,Great way to reach you doctor with questions.,LJschier,https://itunes.apple.com/us/reviews/id480611180,4,2018-10-30T14:31:18-07:00,0,0,I use this app to “talk” to my very busy doctor.  She always replies within a few hours.
FollowMyHealth®,502147249,25571,4.5,Love it,GaryCassibry,https://itunes.apple.com/us/reviews/id732197375,5,2018-10-30T11:29:42-07:00,0,0,Great to be able to see and reference your labs/health.
FollowMyHealth®,502147249,25571,4.5,Convenient,Ggurgens,https://itunes.apple.com/us/reviews/id165232776,5,2018-10-30T11:28:30-07:00,0,0,Great app.  Easy to navigate.
FollowMyHealth®,502147249,25571,4.5,J Bennett,DogViewer1337,https://itunes.apple.com/us/reviews/id19731782,5,2018-10-30T10:32:54-07:00,0,0,Really great app and clinic! I’ve never felt so connected with my doctor!
FollowMyHealth®,502147249,25571,4.5,Follow my health,Kronsker1782,https://itunes.apple.com/us/reviews/id230566399,5,2018-10-30T09:53:18-07:00,0,0,This is a great tool for contacting my doctors
FollowMyHealth®,502147249,25571,4.5,FMHmobile,Cbodiker,https://itunes.apple.com/us/reviews/id475087475,5,2018-10-30T09:37:52-07:00,0,0,"This Medical App is a great place to go to for all of my Appointments, my Medicines that I am on and etc."
FollowMyHealth®,502147249,25571,4.5,Excellent Experience,ras7181,https://itunes.apple.com/us/reviews/id3088147,5,2018-10-30T08:32:35-07:00,0,0,I enjoy using this application. The interface is nice and relatively easy to navigate. I actually prefer using this application to using the website.
FollowMyHealth®,502147249,25571,4.5,Keeps me in the know!,CoacoaPhilli,https://itunes.apple.com/us/reviews/id291931645,4,2018-10-30T07:52:32-07:00,0,0,This app is very helpful. All my medical info always at my fingertips!
FollowMyHealth®,502147249,25571,4.5,Easy to use and very helpful.,Tchana86,https://itunes.apple.com/us/reviews/id483695341,5,2018-10-30T07:49:39-07:00,0,0,I really like this app.  It is a very convenient and easy way to stay in contact with my physician.
FollowMyHealth®,502147249,25571,4.5,Deric Sims,Dericsims34,https://itunes.apple.com/us/reviews/id299728868,5,2018-10-30T06:47:38-07:00,0,0,Love the app.
FollowMyHealth®,502147249,25571,4.5,App review,L!3 L!3,https://itunes.apple.com/us/reviews/id609760302,5,2018-10-30T06:31:20-07:00,0,0,I love how you can see the tests your Doctors ran on you with the results and paper work.
FollowMyHealth®,502147249,25571,4.5,Real Time Healthcare,TtoniL,https://itunes.apple.com/us/reviews/id204797532,4,2018-10-30T05:37:52-07:00,0,0,"Amazing coming from a generation of paper everything. Now personal health records are accessible, no more manual tracking the details of the visit, what was prescribed or next steps if any. Can be accessed by any required medical professional when needed without having to repeat entire history. Excellent tool."
FollowMyHealth®,502147249,25571,4.5,My Health,M Health,https://itunes.apple.com/us/reviews/id297243830,5,2018-10-30T05:32:53-07:00,0,0,A great site to view your health information!
FollowMyHealth®,502147249,25571,4.5,What I like,bigbird123?!,https://itunes.apple.com/us/reviews/id627731427,5,2018-10-30T04:59:33-07:00,0,0,Very very helpful at the at Rita when getting scrips check my stats for what I need to get done for phisecal and reminda for Apt coming up love it   Would like to see up date done on app faster
FollowMyHealth®,502147249,25571,4.5,My health,grandchildrenrule,https://itunes.apple.com/us/reviews/id636799610,5,2018-10-30T03:36:16-07:00,0,0,"I have found mistakes that need to be changed.  Appreciate the ability to be able to take care of it.  Finally,  my chart should not be a secret from me.  Very happy with DMC"
